"Pokemon The Movie: The Power Of Us","GV VivoCity","GV VivoCity","10/12/2018","11:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6408/showDate/10-12-2018/showTime/1140/hallNumber/5"
"Mortal Engines*","GV Katong","GV Katong","10/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6413/showDate/10-12-2018/showTime/1320/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV City Square","GV City Square","10/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6395/showDate/10-12-2018/showTime/1315/hallNumber/5"
"(Eng Sub)  Mortal Engines*","GV Plaza","GV Plaza","10/12/2018","7:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6464/showDate/10-12-2018/showTime/1915/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","09/12/2018","8:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/09-12-2018/showTime/2005/hallNumber/4"
"Mortal Engines*","Gold Class Katong","Gold Class Katong","12/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6413/showDate/12-12-2018/showTime/1300/hallNumber/1"
"Creed II","GV Paya Lebar","GV Paya Lebar","11/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6409/showDate/11-12-2018/showTime/1055/hallNumber/4"
"Aquaman*","GV Bishan","GV Bishan","14/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/14-12-2018/showTime/1310/hallNumber/1^"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","11/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/11-12-2018/showTime/1300/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Grand, Great World City","GV Grand, Great World City","10/12/2018","8:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6414/showDate/10-12-2018/showTime/2055/hallNumber/1"
"(Tamil) (3d) 2.0*","GV Jurong Point","GV Jurong Point","11/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/4835/showDate/11-12-2018/showTime/1315/hallNumber/2"
"Mortal Engines*","Gold Class Suntec City","Gold Class Suntec City","12/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6413/showDate/12-12-2018/showTime/1630/hallNumber/1"
"The Grinch*","Gold Class Suntec City","Gold Class Suntec City","10/12/2018","9:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6398/showDate/10-12-2018/showTime/950/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bishan","GV Bishan","12/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6395/showDate/12-12-2018/showTime/1430/hallNumber/6"
"Robin Hood","GV Katong","GV Katong","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6410/showDate/12-12-2018/showTime/2140/hallNumber/2"
"Pokemon The Movie: The Power Of Us","GV Tampines","GV Tampines","10/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6408/showDate/10-12-2018/showTime/930/hallNumber/3"
"Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/11-12-2018/showTime/2120/hallNumber/8"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","12/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/12-12-2018/showTime/1600/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Yishun","GV Yishun","10/12/2018","7:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6414/showDate/10-12-2018/showTime/1915/hallNumber/7"
"Fantastic Beasts: The Crimes Of Grindelwald*","Gold Class Katong","Gold Class Katong","09/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6395/showDate/09-12-2018/showTime/2130/hallNumber/2"
"Aquaman*","Grand Seats, Great World City","Grand Seats, Great World City","14/12/2018","11:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6412/showDate/14-12-2018/showTime/2350/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","09/12/2018","9:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/09-12-2018/showTime/945/hallNumber/4"
"Mortal Engines*","Gold Class VivoCity","Gold Class VivoCity","09/12/2018","8:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6413/showDate/09-12-2018/showTime/2050/hallNumber/1"
"The Grinch","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6398/showDate/10-12-2018/showTime/1020/hallNumber/3"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","11/12/2018","1:15 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78336&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph*","Gold Class Katong","Gold Class Katong","11/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6396/showDate/11-12-2018/showTime/1630/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","11/12/2018","7:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/11-12-2018/showTime/1940/hallNumber/4"
"Mortal Engines (First Class)","321 Clementi (First Class)","WE-Clementi","12/12/2018","11:45 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78035&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","13/12/2018","8:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78380&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Atmos) Aquaman*","GVmax, VivoCity","GVmax, VivoCity","15/12/2018","8:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6472/showDate/15-12-2018/showTime/2040/hallNumber/1"
"Robin Hood","GV City Square","GV City Square","10/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6410/showDate/10-12-2018/showTime/1850/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Suntec City","GV Suntec City","10/12/2018","1:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6396/showDate/10-12-2018/showTime/1340/hallNumber/8"
"The Grinch","GV Tampines","GV Tampines","11/12/2018","11:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/11-12-2018/showTime/1145/hallNumber/5"
"Creed II","GV Yishun","GV Yishun","12/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6409/showDate/12-12-2018/showTime/2125/hallNumber/1"
"(Hindi) 2.0*","GV VivoCity","GV VivoCity","11/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4827/showDate/11-12-2018/showTime/2155/hallNumber/8"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","13/12/2018","10:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/13-12-2018/showTime/2220/hallNumber/2*"
"Widows*","GV VivoCity","GV VivoCity","09/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/09-12-2018/showTime/2130/hallNumber/9"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","09/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/09-12-2018/showTime/1235/hallNumber/1"
"Mortal Engines*","GV Bishan","GV Bishan","09/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6413/showDate/09-12-2018/showTime/2140/hallNumber/1^"
"Fantastic Beasts: The Crimes of Grindelwald (Digital)","321 Clementi","WE-Clementi","12/12/2018","10:05 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78214&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","Gold Class VivoCity","Gold Class VivoCity","14/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6412/showDate/14-12-2018/showTime/1030/hallNumber/1"
"(Atmos) Aquaman*","GVmax, VivoCity","GVmax, VivoCity","15/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6472/showDate/15-12-2018/showTime/1055/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","Gold Class VivoCity","Gold Class VivoCity","12/12/2018","12:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6414/showDate/12-12-2018/showTime/1245/hallNumber/2"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","11/12/2018","12:50 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78210&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","18/12/2018","8:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77940&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","11/12/2018","10:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/11-12-2018/showTime/1035/hallNumber/3"
"Aquaman*","GV Bishan","GV Bishan","15/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/15-12-2018/showTime/1225/hallNumber/2^"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","10/12/2018","3:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/10-12-2018/showTime/1500/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Bishan","GV Bishan","11/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6414/showDate/11-12-2018/showTime/2115/hallNumber/2^"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","12/12/2018","8:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/12-12-2018/showTime/2000/hallNumber/6"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","11/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/11-12-2018/showTime/1550/hallNumber/2"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","15/12/2018","10:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/15-12-2018/showTime/1005/hallNumber/1*"
"Mortal Engines*","GV Katong","GV Katong","10/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6413/showDate/10-12-2018/showTime/1610/hallNumber/3"
"The Grinch","GV VivoCity","GV VivoCity","09/12/2018","6:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/09-12-2018/showTime/1800/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV City Square","GV City Square","09/12/2018","1:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6414/showDate/09-12-2018/showTime/1355/hallNumber/3"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","12/12/2018","10:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/12-12-2018/showTime/1010/hallNumber/2"
"(D-Box) Mortal Engines*","D-BOX, Bishan ","D-BOX, Bishan ","10/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6467/showDate/10-12-2018/showTime/1310/hallNumber/1*"
"Bohemian Rhapsody*","Gold Class VivoCity","Gold Class VivoCity","09/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6391/showDate/09-12-2018/showTime/1040/hallNumber/2"
"Mortal Engines*","GVmax, VivoCity","GVmax, VivoCity","11/12/2018","12:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6413/showDate/11-12-2018/showTime/1250/hallNumber/1"
"Aquaman*","Gold Class VivoCity","Gold Class VivoCity","14/12/2018","11:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6412/showDate/14-12-2018/showTime/2330/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Paya Lebar","GV Paya Lebar","09/12/2018","8:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6396/showDate/09-12-2018/showTime/2040/hallNumber/8"
"Creed II","GV Plaza","GV Plaza","10/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6409/showDate/10-12-2018/showTime/1610/hallNumber/4"
"The Wrath*","GV Paya Lebar","GV Paya Lebar","09/12/2018","1:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/3562/showDate/09-12-2018/showTime/1355/hallNumber/6"
"Creed II","Gemini City Square","Gemini City Square","12/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/114/filmCode/6409/showDate/12-12-2018/showTime/1310/hallNumber/4"
"Mortal Engines*","GV Tampines","GV Tampines","10/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/10-12-2018/showTime/1115/hallNumber/1"
"(Atmos) Spider-Man:Into The Spider-Verse*","GVmax Dolby Atmos, VivoCity","GVmax Dolby Atmos, VivoCity","09/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051*/filmCode/6469/showDate/09-12-2018/showTime/1835/hallNumber/1"
"Mortal Engines*","Duo Deluxe, Paya Lebar","Duo Deluxe, Paya Lebar","11/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/131/filmCode/6413/showDate/11-12-2018/showTime/1655/hallNumber/1"
"Creed II","GV VivoCity","GV VivoCity","10/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/10-12-2018/showTime/1900/hallNumber/5"
"Robin Hood","GV Suntec City","GV Suntec City","09/12/2018","4:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6410/showDate/09-12-2018/showTime/1635/hallNumber/3"
"Mortal Engines*","GV Bedok","GV Bedok","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6413/showDate/11-12-2018/showTime/1850/hallNumber/1"
"Mortal Engines*","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6413/showDate/11-12-2018/showTime/2150/hallNumber/1"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","14/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/14-12-2018/showTime/1910/hallNumber/1"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","15/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/15-12-2018/showTime/1845/hallNumber/2"
"The Grinch","GV Bedok","GV Bedok","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6398/showDate/09-12-2018/showTime/1840/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","12/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/12-12-2018/showTime/1350/hallNumber/5"
"Robin Hood","GV Suntec City","GV Suntec City","11/12/2018","1:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6410/showDate/11-12-2018/showTime/1340/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Suntec City","GV Suntec City","09/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6414/showDate/09-12-2018/showTime/1045/hallNumber/7"
"Aquaman*","GV Tampines","GV Tampines","13/12/2018","10:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/13-12-2018/showTime/2220/hallNumber/2"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","14/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/14-12-2018/showTime/1225/hallNumber/2*"
"Mortal Engines*","Gold Class Suntec City","Gold Class Suntec City","11/12/2018","12:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6413/showDate/11-12-2018/showTime/1230/hallNumber/3"
"Aquaman*","GV Plaza","GV Plaza","15/12/2018","8:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6412/showDate/15-12-2018/showTime/2045/hallNumber/8"
"Spider-Man: Into The Spider-Verse*","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6414/showDate/10-12-2018/showTime/1845/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","09/12/2018","5:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/09-12-2018/showTime/1715/hallNumber/6"
"Robin Hood","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6410/showDate/10-12-2018/showTime/1055/hallNumber/2"
"Robin Hood","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6410/showDate/11-12-2018/showTime/2120/hallNumber/4"
"Creed II","GV Plaza","GV Plaza","11/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6409/showDate/11-12-2018/showTime/1030/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","12/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/12-12-2018/showTime/1330/hallNumber/4"
"(Eng Sub)  Mortal Engines*","GV VivoCity","GV VivoCity","11/12/2018","4:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6464/showDate/11-12-2018/showTime/1640/hallNumber/10"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/11-12-2018/showTime/1840/hallNumber/2*"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","10/12/2018","11:25 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78268&args7=78F9C95434406353FDCE1E99790FFDA322645"
"The Grinch","GV Katong","GV Katong","10/12/2018","10:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/10-12-2018/showTime/1025/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","12/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/12-12-2018/showTime/1055/hallNumber/6"
"Mortal Engines*","GV Suntec City","GV Suntec City","10/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/10-12-2018/showTime/1330/hallNumber/6"
"Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/11-12-2018/showTime/1625/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","10/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/10-12-2018/showTime/1220/hallNumber/4"
"Robin Hood","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6410/showDate/11-12-2018/showTime/1055/hallNumber/2"
"Widows*","GV Yishun","GV Yishun","09/12/2018","11:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6411/showDate/09-12-2018/showTime/1145/hallNumber/3"
"The Grinch","GV Bishan","GV Bishan","11/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6398/showDate/11-12-2018/showTime/1955/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","10/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/10-12-2018/showTime/2120/hallNumber/8"
"(Atmos) Aquaman*","GV VivoCity","GV VivoCity","15/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6472/showDate/15-12-2018/showTime/1055/hallNumber/1"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","12/12/2018","10:30 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78340&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Robin Hood (Digital)","321 Clementi","WE-Clementi","9/12/2018","4:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78297&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","13/12/2018","10:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/13-12-2018/showTime/1000/hallNumber/2*"
"Aquaman*","GV Tampines","GV Tampines","14/12/2018","1:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/14-12-2018/showTime/130/hallNumber/1"
"Robin Hood","GV Grand, Great World City","GV Grand, Great World City","11/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6410/showDate/11-12-2018/showTime/1350/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Yishun","GV Yishun","09/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6414/showDate/09-12-2018/showTime/1650/hallNumber/4"
"Mortal Engines*","GV VivoCity","GV VivoCity","11/12/2018","6:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/11-12-2018/showTime/1820/hallNumber/3"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","12/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/12-12-2018/showTime/1330/hallNumber/6"
"The Grinch","GV City Square","GV City Square","09/12/2018","11:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6398/showDate/09-12-2018/showTime/1105/hallNumber/5"
"Mortal Engines*","GV Plaza","GV Plaza","09/12/2018","6:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/09-12-2018/showTime/1810/hallNumber/8"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","09/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/09-12-2018/showTime/1310/hallNumber/5"
"Mortal Engines*","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6413/showDate/12-12-2018/showTime/1430/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald*","Gold Class Katong","Gold Class Katong","09/12/2018","4:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6395/showDate/09-12-2018/showTime/1630/hallNumber/1"
"The Grinch","GV Tampines","GV Tampines","09/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/09-12-2018/showTime/930/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Yishun","GV Yishun","12/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6395/showDate/12-12-2018/showTime/2125/hallNumber/6"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","10/12/2018","1:15 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78331&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Widows (Digital)","321 Clementi","WE-Clementi","11/12/2018","1:10 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78178&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Widows*","GV Yishun","GV Yishun","12/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6411/showDate/12-12-2018/showTime/1055/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","12/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/12-12-2018/showTime/1430/hallNumber/4"
"Widows*","Gold Class VivoCity","Gold Class VivoCity","11/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6411/showDate/11-12-2018/showTime/2135/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","10/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/10-12-2018/showTime/1430/hallNumber/4"
"Mortal Engines*","GV Suntec City","GV Suntec City","11/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/11-12-2018/showTime/1330/hallNumber/6"
"Robin Hood","GV Plaza","GV Plaza","10/12/2018","10:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6410/showDate/10-12-2018/showTime/2205/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","10/12/2018","10:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/10-12-2018/showTime/1035/hallNumber/7"
