"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","10/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/10-12-2018/showTime/1300/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/09-12-2018/showTime/1840/hallNumber/6"
"Creed II","GV VivoCity","GV VivoCity","09/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/09-12-2018/showTime/2155/hallNumber/6"
"Aquaman*","GV Yishun","GV Yishun","15/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6412/showDate/15-12-2018/showTime/1235/hallNumber/7"
"The Grinch","GV Bedok","GV Bedok","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6398/showDate/10-12-2018/showTime/1840/hallNumber/5"
"The Grinch","GV Katong","GV Katong","12/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/12-12-2018/showTime/1445/hallNumber/4"
"The Devil Fish (Digital)","321 Clementi","WE-Clementi","9/12/2018","11:20 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78231&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV Grand, Great World City","GV Grand, Great World City","10/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6413/showDate/10-12-2018/showTime/1130/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","10/12/2018","11:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/10-12-2018/showTime/1125/hallNumber/6"
"Aquaman*","Gold Class Suntec City","Gold Class Suntec City","13/12/2018","4:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6412/showDate/13-12-2018/showTime/1620/hallNumber/2"
"The Grinch","GV Plaza","GV Plaza","12/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6398/showDate/12-12-2018/showTime/1430/hallNumber/2"
"Creed II (Digital)","321 Clementi","WE-Clementi","11/12/2018","1:50 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78242&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Spider-Man:Into The Spider-Verse*","GV Bishan","GV Bishan","11/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6470/showDate/11-12-2018/showTime/1530/hallNumber/2*"
"Spider-Man: Into The Spider-Verse*","GV Bishan","GV Bishan","10/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6414/showDate/10-12-2018/showTime/1020/hallNumber/2^"
"(Tamil) (3d) 2.0*","GV Suntec City","GV Suntec City","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/4835/showDate/12-12-2018/showTime/2140/hallNumber/2"
"Widows*","GV VivoCity","GV VivoCity","12/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/12-12-2018/showTime/1045/hallNumber/9"
"Widows*","GV Suntec City","GV Suntec City","12/12/2018","4:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6411/showDate/12-12-2018/showTime/1645/hallNumber/1"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/10-12-2018/showTime/1840/hallNumber/2*"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","11/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/11-12-2018/showTime/1325/hallNumber/5"
"Bohemian Rhapsody","GV VivoCity","GV VivoCity","11/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6391/showDate/11-12-2018/showTime/1625/hallNumber/6"
"Polis Evo 2 (Digital)","321 Clementi","WE-Clementi","11/12/2018","6:55 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78244&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","Gold Class Katong","Gold Class Katong","15/12/2018","9:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6412/showDate/15-12-2018/showTime/940/hallNumber/2"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","15/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/15-12-2018/showTime/1600/hallNumber/1"
"(D-Box) Spider-Man:Into The Spider-Verse*","GV Bishan","GV Bishan","09/12/2018","12:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6470/showDate/09-12-2018/showTime/1210/hallNumber/2*"
"The Wrath*","GV Plaza","GV Plaza","11/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3562/showDate/11-12-2018/showTime/1350/hallNumber/10"
"Creed II","GV Suntec City","GV Suntec City","11/12/2018","3:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6409/showDate/11-12-2018/showTime/1555/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","12/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/12-12-2018/showTime/1840/hallNumber/4"
"Robin Hood (Digital)","321 Clementi","WE-Clementi","10/12/2018","11:00 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78300&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV Suntec City","GV Suntec City","09/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/09-12-2018/showTime/1330/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","11:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/11-12-2018/showTime/1100/hallNumber/4"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","15/12/2018","7:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/15-12-2018/showTime/1920/hallNumber/1*"
"Aquaman*","GV Jurong Point","GV Jurong Point","14/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/14-12-2018/showTime/2150/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/09-12-2018/showTime/1845/hallNumber/4"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","9/12/2018","1:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78296&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","10/12/2018","4:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/10-12-2018/showTime/1635/hallNumber/6"
"Aquaman*","GV Bishan","GV Bishan","14/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/14-12-2018/showTime/1615/hallNumber/1^"
"Climax*","GV Paya Lebar","GV Paya Lebar","14/12/2018","7:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/0571/showDate/14-12-2018/showTime/1915/hallNumber/8"
"Robin Hood","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6410/showDate/12-12-2018/showTime/1350/hallNumber/5"
"Aquaman*","GV Katong","GV Katong","15/12/2018","12:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/15-12-2018/showTime/1250/hallNumber/3"
"Bohemian Rhapsody","Gold Class Grand, Great World City","Gold Class Grand, Great World City","09/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6391/showDate/09-12-2018/showTime/2135/hallNumber/3"
"Robin Hood","GV Katong","GV Katong","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6410/showDate/11-12-2018/showTime/1840/hallNumber/6"
"The Grinch","GV Yishun","GV Yishun","10/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6398/showDate/10-12-2018/showTime/1055/hallNumber/5"
"Aquaman (Digital)","321 Clementi","WE-Clementi","14/12/2018","12:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77979&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Creed II","GV Plaza","GV Plaza","09/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6409/showDate/09-12-2018/showTime/1320/hallNumber/4"
